Title,Air Date,Code,#,Description,Season,Episode
Major Boobage,"March 26, 2008",1203,170,"Kenny becomes addicted to the latest drug. To get people off this, Gerald proposes a ban on Cats.",12,3
Canada on Strike,"April 2, 2008",1204,171,The head of the World Canadian Bureau leads the country into a long and painful strike.,12,4
"Eek, A Penis!","April 9, 2008",1205,172,Mrs. Garrison goes in search of a way of becoming a man while Cartman is left to substitute.,12,5
Over Logging,"April 16, 2008",1206,173,Randy moves the Marsh family towards California after the internet has gone.,12,6
Super Fun Time,"April 23, 2008",1207,174,"Mr. Garrison's field trip turns into a dangerous situation when everyone is taken hostage, while Butters is forced by Cartman to accompany him to the nearby amusement park.",12,7
The China Probrem,"October 8, 2008",1208,175,Cartman must confront the Chinese alone while the American people are haunted by the memory of recent tragic events.,12,8
Breast Cancer Show Ever,"October 15, 2008",1209,176,Wendy gets into trouble after threatening to beat Cartman after school.,12,9
Pandemic,"October 22, 2008",1210,177,"While the world struggles to contain the latest epedemic of epic proportions, the boys find a way to make money off of it.",12,10
Pandemic 2: The Startling,"October 29, 2008",1211,178,Randy bravely documents the destruction whilst trying to save his family.,12,11
About Last Night...,"November 5, 2008",1212,179,All the president candidates aren't who they seem to be...,12,12
Elementary School Musical,"November 12, 2008",1213,180,"The boys realize they aren't the cool kids anymore, while Stan realizes that he could lose Wendy if he doesn't get on board with the latest fad to hit South Park Elementary",12,13
The Ungroundable,"November 19, 2008",1214,181,"Butters is sure he’s seen a Vampire at school but he can’t get anyone to listen to him. Meanwhile, the Goth Kids are angry and frustrated when the other kids can’t tell the difference between a Goth Kid and a Vampire Kid.",12,14
The Ring,"March 11, 2009",1301,182,"Thinking it's his way into her heart and other body parts, Kenny takes his new girlfriend to a Jonas Brothers concert. His dream of taking their relationship to the next level is crushed with the Jonas Brothers giving them purity rings.",13,1
The Coon,"March 18, 2009",1302,183,The Coon rises from the trash and takes his place as a lone vigilante.,13,2
Margaritaville,"March 25, 2009",1303,184,"The economy is making everyone's life difficult, but Randy has a solution.",13,3
"Eat, Pray, Queef","April 1, 2009",1304,185,"There is a new television series which freaks the boys out, called The Queef Sisters.",13,4
Fishsticks,"April 8, 2009",1305,186,Cartman decides to help Jimmy with his comedy routine. Everyone loves the new joke they come up with. The joke starts to take off and it even hits all the late night talk shows. The boys are thrilled with how popular it’s become until somebody tries to take all the credit.,13,5
Pinewood Derby,"April 15, 2009",1306,187,Randy is determined that Stan will win this year's Pinewood Derby. He comes up with a plan that will assure Stan a first place trophy.,13,6
Fatbeard,"April 22, 2009",1307,188,Butters and a small group of recruits join Cartman in his dream of living on skull island where they will frolic in crystal clear waterfalls and discover buried treasure. Cartman promises that paradise awaits if they can just get to Somalia.,13,7
Dead Celebrities,"October 7, 2009",1308,189,Ike is being tormented by paranormal forces. Kyle brings in professional ghost hunters to help save his little brother.,13,8
Butters' Bottom Bitch,"October 14, 2009",1309,190,Butters is determined to get his first kiss so his friends won't make fun of him anymore.,13,9
W.T.F.,"October 21, 2009",1310,191,The boys decide to take up wrestling.,13,10
